"OriginalEnglish","Translation","Locations"
"Access your files on any device","Přístup k souborům na libovolném zařízení",
"Sync Files on Demand with OneDrive","Synchronizace souborů na vyžádání s OneDrivem",
"Editor in Word","Editor ve Wordu",
"Take and read notes","Posudky a čtení poznámek",
"What is Microsoft 365?","Co je Microsoft 365?",
"Microsoft Stream: Your company's video portal","Microsoft Stream: Video portál vaší společnosti",
"Help protect your family online with Windows Security","Ochrana rodiny online pomocí zabezpečení systému Windows",
"Copy a playlist","Kopírování seznamu stop",
"Hide and show content","Skrytí a zobrazení obsahu",
"Collaborating in Teams","Spolupráce v Teams",
"Manage content updates","Správa aktualizací obsahu",
"Engage your audience in hybrid meetings","Zapojte své publikum do hybridních schůzek",
"Work together in Microsoft Teams","Spolupracujte v Microsoft Teams",
"Collaborate and co-author shared content","Spolupráce a spolutváění sdíleného obsahu",
"Collaborating with SharePoint, Teams, and OneDrive","Spolupráce se SharePointem, Teams a OneDrivem",
"Get started using Microsoft Teams for live events","Začínáme používat Microsoft Teams pro živé události",
"Use document libraries in SharePoint","Použití knihoven dokumentů v SharePointu",
"Make Calls","Volání",
"What to do before, during, and after hybrid meetings","Co dělat před hybridními schůzkami, během a po jejich schůzkách",
"Make your work and PC accessible","Zpřístupnění práce a počítače",
"Using the Desktop Apps","Používání desktopových aplikací",
"Set your status in Microsoft Teams","Nastavení stavu v Microsoft Teams",
"Be safer over wireless connections","Buďte bezpečnější než bezdrátová připojení",
"Tips for better meetings","Tipy pro lepší schůzky",
"Stay protected with Windows security","Zůstaňte chráněni zabezpečením systému Windows",
"Plan and respect boundaries","Plánování a respektování hranic",
"Hybrid meeting space considerations","Aspekty hybridního zasedacího prostoru",
"Firewall and network protection in Windows security","Brána firewall a ochrana sítě v zabezpečení systému Windows",
"Hybrid meetings","Hybridní schůzky",
"Microsoft Edge","Microsoft Edge",
"Learn more","Víc se uč",
"Co-author Microsoft 365 files","Spolutvářit soubory Microsoftu 365",
"Yammer: Your company's social network","Yammer: Sociální síť vaší společnosti",
"Over morning coffee","Nad ranní kávou",
"Save files to the cloud","Ukládání souborů do cloudu",
"Tips to keep your data safe","Tipy, jak udržet vaše data v bezpečí",
"Follow-ups","Následná opatření",
"Bring your work to life with 3D","Oživte svou práci pomocí 3D",
"Getting started with Sway","Začínáme se Swayem",
"Administrator settings for Sway","Nastavení správce pro Sway",
"Add content in Sway","Přidání obsahu ve Swayi",
"Frequently Asked Questions about Sway","Nejčastější dotazy týkající se Swaye",
"File size limits in Sway","Omezení velikosti souboru ve Swayi",
"Frequently asked questions about Sway – Admin Help","Nejčastější dotazy týkající se Swaye – nápověda pro správce",
"Embed a form in a Sway","Vložení formuláře do Swaye",
"Embed an Office document in Sway","Vložení dokumentu Office do Swaye",
"Create a Sway in seconds with QuickStarter","Vytvoření Swaye během několika sekund pomocí QuickStarteru",
"Import content into Sway","Import obsahu do Swaye",
"Share your Sway","Sdílení Swaye",
"Remove the Sway informational footer","Odebrání informačního zápatí Swaye",
"Privacy settings in Sway","Nastavení ochrany osobních údajů ve Swayi",
"Search for content in Sway","Hledání obsahu ve Swayi",
"Record audio in Sway","Nahrávání zvuku ve Swayi",
"Embed content in your Sway","Vložení obsahu do Swaye",
"Create in Sway","Vytvořit ve Swayi",
"Add a password to your Sway","Přidání hesla do Swaye",
"Accessibility features in Sway","Funkce usnadnění ve Swayi",
"Add Focus Points to images in Sway","Přidání zaostřování bodů k obrázkům ve Swayi",
"Copy and paste cards in Sway","Kopírování a vkládání karet ve Swayi",
"Sway keyboard shortcuts","Klávesové zkratky Sway",
"Add video and audio files into Sway","Přidání video a zvukových souborů do Swaye",
"Sign in to Sway","Přihlaste se do Swaye",
"Design and share in Sway","Návrh a sdílení ve Swayi",
"Introduction to SharePoint","Úvod k SharePointu",
"Learn about SharePoint site types","Informace o typech sharepointových webů",
"Learn about SharePoint lists and libraries","Informace o sharepointových seznamech a knihovnách",
"Create and customize your site","Vytvoření a přizpůsobení webu",
"Use web parts to organize content","Uspořádání obsahu pomocí webových částí",
"Share your site with others","Sdílení webu s ostatními",
"Measure and maintain","Měření a údržba",
"Make your site collaborative","Spolupráce na webu",
"Make your site engaging","Zaumyšte svůj web",
"Make your site personal","Nastavení webu jako osobního",
"Make your site mobile","Zpřísněte svůj web",
"Learn about permission and access","Informace o oprávnění a přístupu",
"Use SharePoint lists and libraries","Použití sharepointových seznamů a knihoven",
"Ways to work with SharePoint","Způsoby práce se SharePointem",
"Communicate with your immediate team or a broad audience","Komunikujte se svým nejbližším týmem nebo širokým publikem",
"Learn how to upload and organize files in SharePoint lists and  libraries","Naučte se nahrávat a organizovat soubory v sharepointových seznamech a knihovnách",
"Customize the look, navigation, and resources available to viewers on your site","Přizpůsobení vzhledu, navigace a zdrojů dostupných divákům na webu",
"Add text, images, video, and other web parts ","Přidání textu, obrázků, videa a dalších webových částí ",
"Let viewers know about your new site by adding members ","Přidáním členů dejte divákům vědět o novém webu ",
"View site metrics and learn about site settings","Zobrazení metrik webu a informace o nastavení webu",
"See how SharePoint team sites work with Microsoft Teams","Podívejte se, jak týmové weby SharePointu fungují s Microsoft Teams",
"Build community and culture by enhancing the viewing experience","Vybudovat komunitu a kulturu vylepšením zážitku ze sledování",
"Target pages, news, files, and menu links to specific audiences ","Odkazy na cílové stránky, zprávy, soubory a nabídky na konkrétní cílové skupiny ",
"Make your site mobile friendly and encourage viewers to download the SharePoint mobile app","Nastavení mobilního webu na mobilní zařízení a povzbuzení diváků ke stažení mobilní aplikace SharePoint",
"Introduction to SharePoint permissions, sharing, and accessibility","Úvod k oprávněním, sdílení a usnadnění přístupu k SharePointu",
"Video: Create a team or communication site","Video: Vytvoření týmového nebo komunikačního webu",
"What is a SharePoint hub site?","Co je web centra SharePointu?",
"What is a document library?","Co je knihovna dokumentů?",
"Get started with Microsoft Lists","Začínáme se seznamy Microsoftu",
"Create a Communication site in SharePoint","Vytvoření komunikačního webu v SharePointu",
"Create a Team site in SharePoint","Vytvoření týmového webu v SharePointu",
"Associate a SharePoint site with a hub","Přidružení sharepointového webu k rozbočovači",
"Customize the navigation on your SharePoint site","Přizpůsobení navigace na sharepointovém webu",
"Customize your SharePoint site","Přizpůsobení sharepointového webu",
"Add texts and tables to your page","Přidání textů a tabulek na stránku",
"Use the Image web part","Použití webové části Obrázek",
"Share a site","Sdílení webu",
"Manage your SharePoint site settings","Správa nastavení sharepointového webu",
"View usage data for your SharePoint site","Zobrazení dat o využití sharepointového webu",
"Delete a SharePoint site or subsite","Odstranění sharepointového webu nebo podřízené lokality",
"Collaborating with Teams, SharePoint, and OneDrive","Spolupráce s Teams, SharePointem a OneDrivem",
"Create a Microsoft Team from SharePoint","Vytvoření týmu Microsoft ze SharePointu",
"Add a SharePoint page or list to a channel in Teams","Přidání sharepointové stránky nebo seznamu do kanálu v Teams",
"Use Microsoft Planner on your SharePoint site","Použití Plánovače Microsoftu na sharepointovém webu",
"Use the Planner web part","Použití webové části Plánovač",
"What is Yammer?","Co je Yammer?",
"Use the Yammer web parts in SharePoint Online","Použití webových částí Yammeru v SharePointu Online",
"Overview of Audience Targeting in Modern SharePoint sites","Přehled cílení na okruhy uživatelů na moderních sharepointových webech",
"Target files, news and pages to specific audiences","Cílení souborů, zpráv a stránek na konkrétní publikum",
"Use the Highlighted content web part","Použití webové části Zvýrazněný obsah",
"Use the Recent documents web part","Použití webové části Poslední dokumenty",
"Use the Sites web part","Použití webové části Weby",
"Video: Stay connected using the SharePoint mobile app","Video: Zůstaňte ve spojení pomocí mobilní aplikace SharePoint",
"Create an internal product launch site","Vytvoření interního webu pro uvedení produktu na trh",
"Create a new hire site","Vytvoření nového webu pro pronájem",
"Create a community site","Vytvoření komunitního webu",
"Create a project collaboration space","Vytvoření prostoru pro spolupráci na projektu",
"Use the Quick links web part","Použití webové části Rychlé odkazy",
"Overview: site permission and sharing for site owners","Přehled: Oprávnění a sdílení webu pro vlastníky webu",
"Make your SharePoint site accessible to people with disabilities","Zpřístupnění sharepointového webu lidem s postižením",
"Using web parts on SharePoint pages","Používání webových částí na stránkách SharePointu",
"Use the News web part on a SharePoint page","Použití webové části Zprávy na stránce SharePointu",
"Create a document library in SharePoint","Vytvoření knihovny dokumentů v SharePointu",
"Create a list in SharePoint","Vytvoření seznamu v SharePointu",
"Plan your SharePoint communication site","Plánování komunikačního webu SharePointu",
"Overview of how to build your site","Přehled sestavení webu",
"Manage your SharePoint communication site","Správa komunikačního webu SharePointu",
"Create and share news on your SharePoint sites","Vytváření a sdílení zpráv na sharepointových webech",
